ISO639-3	Family
mcp	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Makaa-Njem
mdd	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Adamawa|Mbum-Day|Mbum|Southern|Tupuri-Mambai|Vere-Gimme|Vere
mdj	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|East|Mangbetu|South|Southwest|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
mdm	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Sere-Ngbaka-Mba|Ngbaka-Mba|Ngbaka|Eastern|Mayogo-Bangba|Vere
men	Niger-Congo|Mande|Western|Central-Southwestern|Southwestern|Mende-Loma|Mende-Bandi|Mende-Loko|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
mer	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Kikuyu-Kamba
mev	Niger-Congo|Mande|Eastern|Southeastern|Guro-Tura|Tura-Dan-Mano|Mano|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
mey	Afro-Asiatic|Semitic|Central|South|Arabic|Mandaic|Northwestern|West
mfe	Creole, French based
mfi	Afro-Asiatic|Chadic|Biu-Mandara|A|A.4|Mandara Proper|Mandara
mfv	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Manjaku-Papel|Jola Proper|Kwatay|Jola-Kasa
mgo	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Momo|Nun
mls	Nilo-Saharan|Satellite-Core|Satellites|Maban|Masalit|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi
mnk	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Manding-West|Southeastern Manding|Maninka-Mori
mos	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Northwest|Monzombo|Vere
mpg	Afro-Asiatic|Chadic|Masa|B|B.3|2|South
msw	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Sua|Temne|Temne-Banta|Southern|Jola-Kasa
mye	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|B|Myene
myk	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Senufo|Suppire-Mamara|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
mzb	Afro-Asiatic|Berber|Northern|Zenati|Mzab-Wargla
mzv	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Gbaya-Manza-Ngbaka|East|Western|Togbo-Vara|Vere-Gimme|Vere
naq	Khoe-Kwadi|Khoe|Khoekhoe|Nama
nbl	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Nguni
nde	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Nguni
ngo	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|N|Manda
niq	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Nandi-Markweta|Nandi
nix	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Nyoro-Ganda
nku	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Kulango|Southern|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
nmg	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Makaa-Njem
nmn	Tuu|Taa
nnb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Konzo-Ndandi
