defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000425	Mande Western	>30 millions	https://en.wikipedia.org/wiki/Mand%C3%A9_peoples	Western African
AfPO:0000537	Lilse@en			Gurma
AfPO:0000535	Bariba@en	1.4 million	https://en.wikipedia.org/wiki/Bariba_people	Gurma
AfPO:0000479	Nzebi@en	347614	https://fr.wikipedia.org/wiki/Nzebi_(peuple)	Central African
AfPO:0000134	Kamba	4.663 millions	https://en.wikipedia.org/wiki/Kamba_people	Bantu Eastern
AfPO:0000350	Ndebele		https://en.wikipedia.org/wiki/Northern_Ndebele_people	Nguni
AfPO:0000091	Terik		https://en.wikipedia.org/wiki/Terik_people	Kalenjin
AfPO:0000306	Sara	3.5 millions	https://en.wikipedia.org/wiki/Sara_people	Western African, Nilotic Central
AfPO:0000212	Shaigiya		https://en.wikipedia.org/wiki/Shaigiya_tribe	Sudanese Arab
AfPO:0000563	Lebu@en	210000	https://en.wikipedia.org/wiki/Lebu_people	Wolof
AfPO:0000408	Swahili	>0.1 millons	https://en.wikipedia.org/wiki/Swahili_people	Bantu Eastern
AfPO:0000557	Yalunka@en	206000	https://en.wikipedia.org/wiki/Yalunka_people	Mande Western
AfPO:0000331	Khoekhoe		https://en.wikipedia.org/wiki/Khoikhoi	Southern African
AfPO:0000496	Sukuma@en	10 Millions	https://en.wikipedia.org/wiki/Sukuma_people	Bantu Eastern
AfPO:0000555	Mano@en	498000	https://en.wikipedia.org/wiki/Mano_people	Mande Western
AfPO:0000507	Sihanaka@en	200000	https://en.wikipedia.org/wiki/Sihanaka	Malagasy
AfPO:0000412	Bantu Western		https://en.wikipedia.org/wiki/Bantu_expansion	Western African
AfPO:0000472	Teke@en		https://en.wikipedia.org/wiki/Teke_people	Bantu Central
AfPO:0000075	Sebei	0.3 million	https://en.wikipedia.org/wiki/Sebei_people	Kalenjin
AfPO:0000066	Taveta	0.026 millions	https://en.wikipedia.org/wiki/Taveta_people	Bantu Eastern
AfPO:0000543	Dan@en	700000	https://en.wikipedia.org/wiki/Dan_people	Mande Western
AfPO:0000499	Elmolo@en	1104	https://en.wikipedia.org/wiki/El_Molo_people	Cushitic Eastern
AfPO:0000502	Gabra@en	700000		Oromo
AfPO:0000436	Okiek		https://en.wikipedia.org/wiki/Okiek_people	Kalenjin
AfPO:0000195	Mahas		https://en.wikipedia.org/wiki/Mahas	Nubian Eastern
AfPO:0000067	Bassa	0.8 million	https://en.wikipedia.org/wiki/Bassa_people_(Liberia)	Bantu Western
AfPO:0000244	Burunge	0.030 million	https://en.wikipedia.org/wiki/Burunge_people	Cushitic Eastern
AfPO:0000328	Coloured	4.7 millions	https://en.wikipedia.org/wiki/Cape_Coloured	Southern African
AfPO:0000367	Maghrebi	>72 millions	https://en.wikipedia.org/wiki/Maghrebis	Semite Northern
AfPO:0000435	Dendi	0.2 million	https://en.wikipedia.org/wiki/Dendi_people	Songhai
AfPO:0000287	Twa	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa	Pygmy Eastern, Pygmy Southern, Banyarwanda, Pygmy Central
AfPO:0000058	Tiv	3.8 millions	https://en.wikipedia.org/wiki/Tiv_people	Bantu Western
AfPO:0000489	Lambya@en	89900	https://en.wikipedia.org/wiki/Lambya_people	Bantu Eastern
AfPO:0000371	Nilotic Eastern	>22 millions	https://en.wikipedia.org/wiki/Nilotic_peoples	Eastern African
AfPO:0000358	Nubian Northern	1.7 million	https://en.wikipedia.org/wiki/Nubians	Northern African
AfPO:0000341	Ovambo	1.6 million	https://en.wikipedia.org/wiki/Ovambo_people	Bantu Southern
AfPO:0000514	Teso@en	2,873 Millions	https://en.wikipedia.org/wiki/Teso_people	Nilotic Eastern
AfPO:0000464	Kota@en	81500	https://en.wikipedia.org/wiki/Kota_people_(Gabon)	Bantu Central
AfPO:0000480	Podoko@en	65000		Central African
AfPO:0000203	Akan	20 millions	https://en.wikipedia.org/wiki/Akan_people	Western African
AfPO:0000350	Ndebele		https://en.wikipedia.org/wiki/Southern_Ndebele_people	Nguni
AfPO:0000125	Hausa	90 millions	https://en.wikipedia.org/wiki/Hausa_people	Western African, Eastern African
AfPO:0000087	Igbo	>34 millions	https://en.wikipedia.org/wiki/Igbo_people	Western African
AfPO:0000397	Tigré	1.5 millions	https://en.wikipedia.org/wiki/Tigre_people	Semitic Eastern
AfPO:0000282	Aka		https://en.wikipedia.org/wiki/Aka_people	Pygmy Central
AfPO:0000442	Isoko		https://en.wikipedia.org/wiki/Isoko_people	Western African
AfPO:0000104	Fulani	25 millions	https://en.wikipedia.org/wiki/Fula_people	Northern African, Central African, Western African, Eastern African
